movie_id,series_id,channel_id
M18065821c-da52-3d73-86f4-b466384f41b8,8065821c-da52-3d73-86f4-b466384f41b8,9eeaf889-8810-43a1-aed9-fa249d140686
3463c47d-51fc-4aae-bde0-be5449ecbab4,13f3b907-200c-4ec4-925a-d65ef8479a0b,7a6b5c4d-3e2f-1a0b-9c8d-7e6f5a4b3c2d
463b3ad7-4827-4b02-8f43-e779d52a3ead,f896b39d-6a29-4ccd-8252-54e921fe171e,9bdedfe8-43d8-45d5-a2d3-426d3ad2785c
76cd6a0e-e20a-4b36-9bd2-1ed154da42c5,aa7e9b5e-d742-41a9-bdef-d6dc934af109,477a1cec-4200-4a49-8749-7cb3d2a80f2c
0e654b64-6445-4d3c-8dc5-e579f189fdbb,0514dab7-4044-4e92-bf83-ee607711e24a,2fbb30a6-c065-4b7e-8e53-cdee7e3a4d53
cccf261c-839e-4deb-a9c3-29c6ee5d1c43,8bade1d5-b77e-47ae-b5c6-fa686f5118cc,0451f2ed-63a7-45bd-a8d0-2f2197d556b5
1de542d2-91fe-43be-8905-8517f9a043f5,80f1f99a-69ff-4639-9d75-f11a46d8c62c,8337e63a-5482-4f14-9247-018d91ac62be
9457c189-2ec3-449b-a21b-1466e9134741,398fba55-ca8f-4e8f-af21-f850ecd41bc7,d9664d8a-c8b0-4083-8474-8a92ad7a471c
c0fb637e-8cf4-4c19-8784-dd3eacbf1b35,252bca05-6754-4ea0-b35a-0e268d5f85c9,5827f4b4-5550-4c8e-acdd-f76bef521d43
aa49ad65-a914-4721-9608-182dbe83b7dd,2076e890-a3e6-4ef1-832e-84181bf82543,83480562-7bac-4db5-ab79-0bfda7858f9e
66c769ac-0354-4884-9508-ce782bcc9901,fdf02adc-9fe3-438f-8300-3e5a24d3c84a,CHANNEL_123
21600b9e-d54a-4f60-82d7-4ad7182aeab2,2283abb2-24a8-45de-a2b6-c106fcb3b403,115daf54-e3a3-405d-a134-c5db006407c5
9270c21c-4553-4829-af5b-94d25c5bf933,21d21a1e-f99e-4888-a33b-b92087bac0b7,ad559616-69d7-4176-8604-0fd03cc505cc
a923e30f-6ffb-437c-8a0a-756d6b548949,659747f3-3494-4ee0-afe9-0a331fe82ac5,d47f1ab6-0be1-4a03-b120-e258195f1588
db78baf8-b0fe-4907-9498-8b21fb92129e,5ff1e3c8-6c41-4e86-8c0a-2e2e8d6ed702,fa34c3cf-a532-4bfe-8408-e88ea9467e67
601199b5-899c-464b-ad91-d86ea76d5438,92eae78b-4fba-45d6-90d4-be12c2d1a97d,03626ec4-39b3-4bd7-9f2d-ab0f9dd99465
b25ab99b-5a26-4351-b1f9-f7f22e72d57a,ad89886d-a960-454b-a8c6-ff96dc538109,f67ff954-6707-45c4-b31f-f9e7007b8538
1c5823e3-cae4-4cb4-afaf-f2e2117d27df,d06ef9fd-341a-440c-8fed-f679affa888b,386c5e7a-018e-403b-9d1e-7b33171045c5
6bda7f32-93e1-4a02-ba4f-ca77377cc6a6,ccf8b11d-82d6-4a2d-870b-d35db0aebf27,fbe92ca4-914c-42eb-bbd3-8f09fe0273e8
43405c3d-0d40-45b2-b308-59a3c0140d80,927bcc81-99ab-4555-a8dd-58b8425f8a3a,4a8bb005-f1e1-4c2c-9158-4faec4806942
9e05e8d4-7b19-4a68-b46b-c93f9b2ac9c5,dae0965b-7967-47d9-9688-8458a107b633,ba939147-c4f9-4446-a33e-eb84d8d83a6d
0715f9b1-34a0-493b-b22e-1de6056fd4db,7e5003b4-7b5d-479b-80d6-884b7fd905d4,3e4bd9d2-fa7e-4cd4-ac77-3273a4128663
5de2a620-c9ff-48c7-89dc-87947686c277,188b1a35-486a-4e96-8379-5f5753099404,c7865a74-0790-4449-8b43-24147139868a
bcdfee0d-c6a8-4489-a31c-dea635d08fc9,26bbb1e7-84db-4974-827b-5c987f3a504e,7852ee0b-06d1-41b9-abf9-bb74a03f00cc